studied_layer,proj_method,proj_strength,ds,avg_delta,irrelevant_modifications
mlp8-12,torch_inlp,proj4,naive_black_v_white,0.012998345,0.0040773926
mlp8-12,torch_inlp,proj8,naive_black_v_white,0.010592004,0.013810488
mlp8-12,torch_inlp,default,bash_v_powershell,0.023812873,0.0
mlp8-12,torch_inlp,proj1,bash_v_powershell,0.02377598,0.0061311256
mlp8-12,torch_inlp,proj4,bash_v_powershell,0.023309655,0.011584465
mlp8-12,torch_inlp,proj8,bash_v_powershell,0.022703668,0.009080457
mlp8-12,svm_inlp,default,men_v_women,0.02778922,0.0
mlp8-12,svm_inlp,proj1,men_v_women,0.027807018,0.0013198704
mlp8-12,svm_inlp,proj4,men_v_women,0.029279834,0.0039948137
mlp8-12,svm_inlp,proj8,men_v_women,0.02978085,0.0032238245
mlp8-12,svm_inlp,default,naive_black_v_white,0.015240234,0.0
mlp8-12,svm_inlp,proj1,naive_black_v_white,0.012365222,0.007397088
mlp8-12,svm_inlp,proj4,naive_black_v_white,0.013351003,0.008836443
mlp8-12,svm_inlp,proj8,naive_black_v_white,0.012074026,0.01027807
mlp8-12,svm_inlp,default,bash_v_powershell,0.023812873,0.0
mlp8-12,svm_inlp,proj1,bash_v_powershell,0.023370346,0.0041183373
mlp8-12,svm_inlp,proj4,bash_v_powershell,0.022567239,0.002199186
mlp8-12,svm_inlp,proj8,bash_v_powershell,0.022733854,0.0046554226
mlp8-12,mlp,default,men_v_women,0.02778922,0.0
mlp8-12,mlp,proj1,men_v_women,0.024430186,0.01360623
mlp8-12,mlp,proj4,men_v_women,0.01841098,0.14006834
mlp8-12,mlp,proj8,men_v_women,1.15686125e-05,0.49355778
mlp8-12,mlp,default,naive_black_v_white,0.015240234,0.0
mlp8-12,mlp,proj1,naive_black_v_white,0.010825276,0.015087995
mlp8-12,mlp,proj4,naive_black_v_white,0.014251152,0.009015647
mlp8-12,mlp,proj8,naive_black_v_white,0.013046208,0.01060493
mlp8-12,mlp,default,bash_v_powershell,0.023812873,0.0
mlp8-12,mlp,proj1,bash_v_powershell,0.02300877,0.006212404
mlp8-12,mlp,proj4,bash_v_powershell,0.019995611,0.014378083
mlp8-12,mlp,proj8,bash_v_powershell,0.023094213,0.0044734823
res8-12,torch_inlp,default,men_v_women,0.02778922,0.0
res8-12,torch_inlp,proj1,men_v_women,0.027825851,0.0071351915
res8-12,torch_inlp,proj4,men_v_women,0.027366519,0.021134302
res8-12,torch_inlp,proj8,men_v_women,0.02215631,0.038926814
res8-12,torch_inlp,default,naive_black_v_white,0.015240234,0.0
res8-12,torch_inlp,proj1,naive_black_v_white,0.014249968,0.017139759
res8-12,torch_inlp,proj4,naive_black_v_white,0.010135308,0.011829558
res8-12,torch_inlp,proj8,naive_black_v_white,0.006096682,0.007887456
res8-12,torch_inlp,default,bash_v_powershell,0.023812873,0.0
res8-12,torch_inlp,proj1,bash_v_powershell,0.024995318,0.010386424
res8-12,torch_inlp,proj4,bash_v_powershell,0.022542333,0.014740465
res8-12,torch_inlp,proj8,bash_v_powershell,0.023415266,0.015764864
res8-12,svm_inlp,default,men_v_women,0.02778922,0.0
res8-12,svm_inlp,proj1,men_v_women,0.02838238,0.0014439732
res8-12,svm_inlp,proj4,men_v_women,0.025467407,0.016254544
res8-12,svm_inlp,proj8,men_v_women,0.023548724,0.0306792
res8-12,svm_inlp,default,naive_black_v_white,0.015240234,0.0
res8-12,svm_inlp,proj1,naive_black_v_white,0.016214758,0.0066048414
res8-12,svm_inlp,proj4,naive_black_v_white,0.010617981,0.00713875
res8-12,svm_inlp,proj8,naive_black_v_white,0.0051777186,0.0044336645
res8-12,svm_inlp,default,bash_v_powershell,0.023812873,0.0
res8-12,svm_inlp,proj1,bash_v_powershell,0.023120727,0.011806037
res8-12,svm_inlp,proj4,bash_v_powershell,0.021340717,0.01644826
res8-12,svm_inlp,proj8,bash_v_powershell,0.0223581,0.011112942
res8-12,mlp,default,men_v_women,0.02778922,0.0
res8-12,mlp,proj1,men_v_women,0.03036935,0.004633871
res8-12,mlp,proj4,men_v_women,0.040572263,0.06500696
res8-12,mlp,proj8,men_v_women,0.02726154,0.03571273
res8-12,mlp,default,naive_black_v_white,0.015240234,0.0
res8-12,mlp,proj1,naive_black_v_white,0.0139348535,0.007181695
res8-12,mlp,proj4,naive_black_v_white,0.013578191,0.013444716
res8-12,mlp,proj8,naive_black_v_white,0.013091308,0.025408734
res8-12,mlp,default,bash_v_powershell,0.023812873,0.0
res8-12,mlp,proj1,bash_v_powershell,0.013622004,0.025827365
res8-12,mlp,proj4,bash_v_powershell,0.012522846,0.03633021
res8-12,mlp,proj8,bash_v_powershell,0.0154790105,0.04985368
